2023-06-09 11:00:15,487 - WARNING - Error in CAN De Init emit
2023-06-09 11:02:08,186 - WARNING - Error in CAN De Init emit
2023-06-09 11:02:59,470 - WARNING - Error in CAN De Init emit
2023-06-13 16:27:12,630 - WARNING - Can did't receive: unhashable type
2023-06-13 16:27:12,630 - WARNING - CanReceive error: 'CanSendRecv' object has no attribute '_BusDeInit'
2023-06-13 16:27:12,731 - WARNING - Can did't receive: unhashable type
2023-06-13 16:27:12,731 - WARNING - CanReceive error: 'CanSendRecv' object has no attribute '_BusDeInit'
2023-06-13 16:27:12,832 - WARNING - Can did't receive: unhashable type
2023-06-13 16:27:12,832 - WARNING - CanReceive error: 'CanSendRecv' object has no attribute '_BusDeInit'
2023-06-13 16:27:12,933 - WARNING - Can did't receive: unhashable type
2023-06-13 16:27:13,034 - WARNING - CanReceive error: 'CanSendRecv' object has no attribute '_BusDeInit'
2023-06-13 16:27:13,135 - WARNING - Can did't receive: unhashable type
2023-06-13 16:27:13,135 - WARNING - CanReceive error: 'CanSendRecv' object has no attribute '_BusDeInit'
2023-06-13 16:27:13,235 - WARNING - CAN didn't send: unhashable type
2023-06-13 16:31:31,004 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:31,902 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:33,187 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:34,476 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:35,526 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:35,760 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:37,046 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:38,328 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:39,615 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:40,904 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:41,244 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:42,191 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:43,518 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:44,849 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:31:46,167 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:32:16,655 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:32:17,779 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:32:19,066 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:32:20,354 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:32:21,638 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 16:32:22,944 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:28,490 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:29,302 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:30,590 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:31,877 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:33,163 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:34,447 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:35,747 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:37,078 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:38,431 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:39,795 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:46,378 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:46,922 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:47,565 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:47,683 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:48,144 - WARNING - CanSend error: byte must be in range(0, 256)
2023-06-13 17:19:48,851 - WARNING - CanSend error: byte must be in range(0, 256)
